PlayerName,CourseName,LayoutName,Päivämäärä,Kaikki,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-07 0757,55,0.0,3,4,3,4,3,2,2,3,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Mako,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-07 0757,48,-7.0,2,2,3,3,3,2,3,3,2,3.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,64,9.0,3,4,4,4,4,3,3,3,4,3.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,,,,,,
Sami,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,60,5.0,3,4,4,5,4,3,4,3,3,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Timi,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,52,-3.0,3,3,3,2,3,3,3,3,3,2.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,,,,,,
Jarkko,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,49,-6.0,3,4,3,2,2,3,3,2,2,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,,
Kaskinen,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,55,0.0,2,2,5,3,5,3,3,3,3,2.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,,,,,,
Make,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1503,53,-2.0,3,2,2,3,3,3,2,4,4,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,,,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-05 1453,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
